Names of products,Exceptions,Tropical,Product code,Nomenclature,Code,Description,unit,calculateAggregate?
CASE MATERIALS,,,10.3.1,HS12,480524,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Testliner (recycled liner board) : ",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480524,"Name: Testliner (recycled liner board), uncoated, in rolls/sheets, not further wo ... Description: Testliner (recycled liner board), uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighing 150g/m2/le",000 kg,
CASE MATERIALS,,,10.3.1,HS07,480525,"Name: Testliner (recycled liner board), uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighing >150g/m2 Description: -- Weighing more than 150 g/m²",000 kg,
CASE MATERIALS,,,10.3.1,HS12,480525,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // - Testliner (recycled liner board) : ",000 kg,
CASE MATERIALS,,,10.3.1,HS02,480525,"Name: Testliner (recycled liner board), uncoated, in rolls/sheets, not further wo ... Description: Testliner (recycled liner board), uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48, weighing >150g/m2",000 kg,
PAPERS MAINLY FOR A PACKAGING,,,10.3.4,HS96,480529,"Name: Paper, multi-ply, uncoated, nes Description: Multi-ply paper and paperboard :-- Other",000 kg,
WRAPPING PAPERS,,,10.3.3,HS96,480530,"Name: Paper, sulphite wrapping, uncoated Description: Sulphite wrapping paper",000 kg,
WRAPPING PAPERS,,,10.3.3,HS02,480530,"Name: Paper, sulphite wrapping, uncoated Description: Sulphite wrapping paper",000 kg,
WRAPPING PAPERS,,,10.3.3,HS07,480530,"Name: Sulphite wrapping paper, uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48 Description: - Sulphite wrapping paper     ",000 kg,
WRAPPING PAPERS,,,10.3.3,HS12,480530,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // -Sulphite wrapping paper
Description:",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,480540,"Name: Paper, filter, uncoated Description: Filter paper and paperboard",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS07,480540,"Name: Filter paper & paperboard, uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48 Description: - Filter paper and paperboard",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS12,480540,"Name: Paper and paperboard; articles of paper pulp, of paper or of paperboard // Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter. // -Filter paper and paperboard
Descript",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS02,480540,"Name: Filter paper & paperboard, uncoated, in rolls/sheets, not further worked th ... Description: Filter paper & paperboard, uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS96,480550,"Name: Paper, felt, uncoated Description: Felt paper and paperboard",000 kg,
OTHER PAPER AND PAPERBOARD N.E.S ,CALCULATION DONE BY HS CODE,,10.4,HS07,480550,"Name: Felt paper & paperboard, uncoated, in rolls/sheets, not further worked than/further processed than as spec. in Note 3 to Ch.48 Description: - Felt paper and paperboard",000 kg,
